iter	Passed	Remaining
0	147	29396
1	152	15133
2	161	10598
3	167	8191
4	176	6864
5	182	5894
6	193	5337
7	204	4908
8	212	4499
9	219	4162
10	227	3907
11	235	3683
12	242	3493
13	249	3313
14	261	3220
15	270	3108
16	280	3019
17	290	2933
18	295	2819
19	303	2729
20	309	2637
21	315	2553
22	325	2503
23	332	2440
24	340	2383
25	348	2332
26	354	2271
27	360	2211
28	368	2174
29	375	2127
30	389	2121
31	398	2092
32	405	2053
33	415	2026
34	420	1984
35	431	1964
36	438	1932
37	447	1907
38	455	1881
39	465	1860
40	470	1825
41	479	1802
42	486	1777
43	495	1755
44	502	1730
45	511	1713
46	518	1687
47	524	1661
48	535	1650
49	543	1630
50	549	1606
51	556	1583
52	566	1570
53	573	1551
54	582	1534
55	592	1524
56	601	1509
57	609	1492
58	618	1477
59	624	1458
60	631	1438
61	637	1419
62	648	1411
63	654	1390
64	662	1375
65	667	1355
66	674	1339
67	680	1320
68	688	1307
69	694	1290
70	700	1273
71	711	1265
72	720	1254
73	729	1241
74	736	1227
75	745	1217
76	756	1208
77	769	1204
78	782	1198
79	791	1186
80	802	1179
81	814	1171
82	823	1160
83	831	1148
84	841	1138
85	854	1132
86	861	1119
87	872	1110
88	880	1097
89	889	1086
90	899	1077
91	908	1066
92	916	1054
93	924	1042
94	933	1031
95	944	1023
96	955	1014
97	964	1004
98	973	993
99	985	985
100	997	977
101	1006	966
102	1014	955
103	1022	943
104	1031	933
105	1038	921
106	1045	908
107	1054	898
108	1063	888
109	1073	878
110	1085	870
111	1095	861
112	1104	850
113	1114	841
114	1127	833
115	1139	825
116	1153	818
117	1167	811
118	1176	800
119	1186	790
120	1197	781
121	1207	772
122	1217	762
123	1226	752
124	1238	743
125	1247	732
126	1259	724
127	1269	714
128	1278	703
129	1289	694
130	1298	684
131	1311	675
132	1322	666
133	1329	654
134	1340	645
135	1350	635
136	1361	626
137	1371	616
138	1379	605
139	1388	594
140	1395	583
141	1403	573
142	1413	563
143	1423	553
144	1436	544
145	1446	534
146	1460	526
147	1469	516
148	1478	506
149	1488	496
150	1499	486
151	1508	476
152	1522	467
153	1534	458
154	1543	448
155	1554	438
156	1561	427
157	1569	417
158	1579	407
159	1591	397
160	1600	387
161	1611	377
162	1620	367
163	1630	357
164	1638	347
165	1648	337
166	1660	328
167	1669	317
168	1679	308
169	1690	298
170	1698	288
171	1707	277
172	1716	267
173	1727	258
174	1740	248
175	1752	239
176	1807	234
177	1826	225
178	1839	215
179	1849	205
180	1858	195
181	1867	184
182	1876	174
183	1886	164
184	1893	153
185	1903	143
186	1912	132
187	1923	122
188	1933	112
189	1941	102
190	1953	92
191	1964	81
192	1974	71
193	1983	61
194	1994	51
195	2004	40
196	2014	30
197	2022	20
198	2032	10
199	2040	0
